K: 1 | Prediction Score: 0.894737
K: 3 | Prediction Score: 0.894737
K: 5 | Prediction Score: 0.842105
K: 7 | Prediction Score: 0.789474
K: 9 | Prediction Score: 0.736842
K: 11 | Prediction Score: 0.736842
K: 13 | Prediction Score: 0.842105
K: 15 | Prediction Score: 0.842105
K: 17 | Prediction Score: 0.894737
K: 19 | Prediction Score: 0.894737
K: 21 | Prediction Score: 0.894737
K: 23 | Prediction Score: 0.842105
K: 25 | Prediction Score: 0.842105
K: 27 | Prediction Score: 0.842105
K: 29 | Prediction Score: 0.842105
K: 31 | Prediction Score: 0.842105
K: 33 | Prediction Score: 0.842105
K: 35 | Prediction Score: 0.842105
K: 37 | Prediction Score: 0.842105
K: 39 | Prediction Score: 0.842105
K: 41 | Prediction Score: 0.842105
K: 43 | Prediction Score: 0.842105
K: 45 | Prediction Score: 0.842105
K: 47 | Prediction Score: 0.842105
K: 49 | Prediction Score: 0.736842
K: 51 | Prediction Score: 0.736842
K: 53 | Prediction Score: 0.736842
K: 55 | Prediction Score: 0.684211
K: 57 | Prediction Score: 0.736842
K: 59 | Prediction Score: 0.736842
K: 61 | Prediction Score: 0.736842
K: 63 | Prediction Score: 0.736842
K: 65 | Prediction Score: 0.789474
K: 67 | Prediction Score: 0.789474
K: 69 | Prediction Score: 0.789474
K: 71 | Prediction Score: 0.842105
K: 73 | Prediction Score: 0.842105
K: 75 | Prediction Score: 0.842105
K: 77 | Prediction Score: 0.894737
K: 79 | Prediction Score: 0.894737
K: 81 | Prediction Score: 0.894737
K: 83 | Prediction Score: 0.842105
K: 85 | Prediction Score: 0.842105
K: 87 | Prediction Score: 0.842105
K: 89 | Prediction Score: 0.842105
K: 91 | Prediction Score: 0.842105
K: 93 | Prediction Score: 0.894737
K: 95 | Prediction Score: 0.842105
K: 97 | Prediction Score: 0.736842
K: 99 | Prediction Score: 0.736842
K: 101 | Prediction Score: 0.736842
K: 103 | Prediction Score: 0.736842
K: 105 | Prediction Score: 0.789474
K: 107 | Prediction Score: 0.736842
K: 109 | Prediction Score: 0.736842
K: 111 | Prediction Score: 0.736842
K: 113 | Prediction Score: 0.736842
K: 115 | Prediction Score: 0.736842
K: 117 | Prediction Score: 0.736842
K: 119 | Prediction Score: 0.736842
K: 121 | Prediction Score: 0.684211
K: 123 | Prediction Score: 0.684211
K: 125 | Prediction Score: 0.631579
K: 127 | Prediction Score: 0.578947
K: 129 | Prediction Score: 0.578947
K: 131 | Prediction Score: 0.526316
K: 133 | Prediction Score: 0.526316
K: 135 | Prediction Score: 0.526316
K: 137 | Prediction Score: 0.473684
K: 139 | Prediction Score: 0.473684
K: 141 | Prediction Score: 0.473684
K: 143 | Prediction Score: 0.473684
K: 145 | Prediction Score: 0.473684
K: 147 | Prediction Score: 0.473684
K: 149 | Prediction Score: 0.473684
K: 151 | Prediction Score: 0.473684
K: 153 | Prediction Score: 0.473684
K: 155 | Prediction Score: 0.473684
K: 157 | Prediction Score: 0.473684
K: 159 | Prediction Score: 0.473684
K: 161 | Prediction Score: 0.473684
K: 163 | Prediction Score: 0.473684
K: 165 | Prediction Score: 0.473684
K: 167 | Prediction Score: 0.473684
K: 169 | Prediction Score: 0.473684
K: 171 | Prediction Score: 0.473684
K: 173 | Prediction Score: 0.473684
K: 175 | Prediction Score: 0.473684
K: 177 | Prediction Score: 0.473684
K: 179 | Prediction Score: 0.473684
K: 181 | Prediction Score: 0.473684
K: 183 | Prediction Score: 0.473684
K: 185 | Prediction Score: 0.473684
K: 187 | Prediction Score: 0.473684
K: 189 | Prediction Score: 0.473684
K: 191 | Prediction Score: 0.473684
K: 193 | Prediction Score: 0.473684
K: 195 | Prediction Score: 0.473684
K: 197 | Prediction Score: 0.473684
K: 199 | Prediction Score: 0.473684
